Attendance,InternalMarks,AssignmentMarks,PracticalMarks,QuizMarks,TotalScore
97.36,40.61,73.69,62.84,53.17,59.8865
97.71,57.27,74.23,98.23,98.23,81.917
99.52,41.84,85.85,91.22,50.0,67.717
90.38,45.65,68.1,55.48,66.27,51.6535
59.41,53.13,67.66,87.43,83.98,71.403
60.6,70.21,87.85,67.65,52.26,68.09
67.01,90.85,89.0,87.51,54.17,82.8575
65.91,91.72,50.72,90.04,53.83,71.36850000000001
97.83,76.97,57.19,57.57,79.08,65.8605
89.45,95.69,60.65,83.09,94.8,82.75550000000001
86.2,70.0,67.58,93.14,77.77,79.98599999999999
59.3,93.34,64.57,66.17,80.18,77.6705
95.48,67.24,83.43,54.02,67.3,70.909
91.39,56.63,91.41,51.36,50.94,66.7105
58.18,94.98,59.6,55.5,51.08,63.7
93.56,63.28,78.15,50.21,94.42,70.56700000000001
63.61,70.2,68.39,66.35,55.13,68.44149999999999
54.04,59.73,75.29,64.97,99.99,65.373
82.84,79.77,81.04,55.52,58.22,61.4295
82.69,99.7,94.68,82.56,83.73,80.2355
54.75,41.53,59.61,99.6,97.45,68.05599999999998
65.94,93.99,54.35,95.05,68.11,72.2395
99.64,40.24,81.36,62.64,86.72,59.3065
83.92,61.85,69.71,88.5,67.54,81.2455
86.5,50.12,58.15,96.84,65.25,78.4575
60.65,85.44,55.85,95.32,60.09,76.841
53.94,43.04,77.95,94.23,91.05,81.05000000000001
63.85,73.21,65.02,89.32,62.87,71.42499999999998
62.44,57.7,99.87,64.65,64.16,77.0615
61.73,48.02,70.3,54.18,99.95,62.43699999999999
59.64,86.31,60.61,74.39,66.37,66.0145
78.74,53.05,81.44,52.74,71.14,59.4345
66.41,53.42,62.21,99.92,99.5,75.3605
91.02,56.5,74.7,67.92,68.47,60.840500000000006
59.2,75.21,74.13,97.92,68.31,75.453
73.23,79.58,72.68,88.66,91.39,72.686
50.68,41.06,89.8,70.56,65.6,64.58699999999999
74.08,54.51,60.83,55.92,61.69,54.846
52.79,65.86,95.22,61.86,71.16,76.036
98.89,59.92,89.57,83.65,85.03,70.524
89.53,93.05,66.66,91.5,52.16,74.41499999999999
74.51,87.26,59.03,98.97,68.7,82.207
54.33,77.55,63.98,56.61,67.31,70.08850000000001
79.62,60.28,66.63,57.8,62.24,62.5355
87.94,82.04,77.85,52.12,82.71,74.6105
59.54,90.62,52.32,63.02,64.5,66.46950000000001
78.41,75.69,95.72,91.05,80.34,74.4005
90.71,87.07,54.93,59.91,75.22,64.285
88.41,84.95,63.96,77.39,60.86,74.3145
90.15,74.3,55.46,72.32,63.33,64.03549999999998
93.97,58.73,62.83,66.29,58.53,65.70150000000001
96.88,84.75,91.88,80.92,52.83,71.70349999999999
70.28,52.41,80.76,75.12,80.96,75.0925
78.44,86.77,61.37,66.74,83.64,68.2895
89.53,88.27,93.59,84.44,58.3,77.74349999999998
84.86,89.33,90.04,64.0,80.77,74.7025
99.78,68.37,87.68,82.16,99.1,79.403
50.68,51.55,92.38,97.86,53.72,74.5145
67.76,45.98,80.98,86.45,74.52,76.56099999999999
64.05,84.6,75.07,70.92,86.65,77.554
63.12,93.18,68.7,87.38,52.3,69.98349999999999
61.13,79.05,61.19,90.46,88.91,83.86
85.46,48.65,77.87,66.29,98.98,73.25550000000001
54.24,96.09,94.47,85.26,54.42,81.3665
87.08,99.35,79.7,71.72,91.11,71.65700000000001
84.67,66.0,95.98,90.93,68.93,77.2365
62.54,75.69,67.85,64.77,57.21,60.7255
62.64,86.63,84.76,96.89,74.66,80.31899999999999
81.44,84.18,82.43,78.74,53.58,73.3265
88.11,98.07,83.52,67.67,76.11,78.43050000000001
93.82,46.89,82.25,70.97,50.97,62.484
92.61,74.84,61.08,67.39,86.43,75.0805
98.24,81.52,57.18,57.31,74.4,61.58550000000001
79.07,93.41,98.93,53.42,72.95,72.75200000000001
95.43,92.45,52.26,66.09,59.81,73.3345
90.43,98.68,73.39,72.93,68.06,76.8655
94.73,70.72,71.25,68.09,59.09,66.8915
50.58,89.85,68.0,50.7,86.77,67.27199999999999
98.3,65.64,89.1,78.95,59.95,70.4535
73.68,65.34,87.27,57.24,80.84,71.60000000000001
89.91,55.2,95.26,60.55,63.98,65.12199999999999
56.36,89.09,69.77,56.04,82.85,72.416
69.8,99.15,78.21,76.02,77.02,77.58949999999999
63.57,55.38,94.62,54.76,71.17,62.645
64.58,43.37,99.69,62.82,83.65,63.94
56.16,88.93,98.46,72.59,70.79,72.657
90.29,77.21,85.89,58.39,91.07,69.629
50.46,97.58,57.16,72.31,86.48,74.067
65.63,55.13,51.16,67.14,77.03,64.651
58.72,44.26,91.26,93.03,93.85,81.4695
79.45,69.55,92.05,89.75,91.44,74.4315
62.71,45.13,87.32,99.64,76.59,85.901
62.95,55.71,64.0,76.45,53.42,64.666
74.42,47.56,81.99,78.77,78.3,69.68599999999999
82.63,53.45,65.81,97.33,67.76,75.5215
56.07,46.37,72.53,69.98,77.01,71.79750000000001
58.78,97.23,69.12,77.78,82.36,75.77
62.36,56.71,95.68,68.95,82.24,74.88499999999999
98.69,66.63,61.71,77.29,83.68,78.12100000000001
69.86,93.92,78.88,54.04,83.96,72.0455
79.95,80.64,68.05,89.19,55.46,68.094
62.08,77.08,83.15,99.26,59.59,85.25150000000001
74.52,82.33,78.23,53.29,81.53,72.5115
53.71,89.73,96.2,90.05,70.41,85.1355
51.74,92.66,55.08,62.09,88.14,71.837
73.44,78.56,61.03,59.88,56.25,72.645
69.93,93.4,88.32,84.67,59.58,76.7645
56.84,72.12,68.44,52.21,77.92,57.8065
84.38,56.64,58.29,73.16,75.04,65.269
99.65,92.8,75.17,50.07,63.32,59.616
69.78,72.49,82.61,77.72,70.42,71.148
81.23,94.37,52.24,73.1,51.75,72.08899999999998
98.15,42.41,64.58,95.77,51.85,67.0245
91.58,63.85,90.47,86.01,54.75,76.321
73.18,96.87,76.01,56.3,78.84,75.476
86.87,54.98,51.77,67.73,93.19,65.403
56.41,96.49,64.1,96.58,63.01,84.601
75.61,97.23,81.96,86.27,51.7,71.197
63.95,92.93,59.97,79.71,85.43,80.8085
58.06,73.82,91.37,77.95,92.77,81.338
71.31,78.82,83.83,69.9,56.91,66.93350000000001
56.55,92.18,73.57,79.26,69.29,70.74950000000001
84.95,86.55,95.78,88.58,57.94,76.06
72.81,77.81,69.59,56.38,55.32,66.96600000000001
76.56,98.94,61.75,98.49,82.41,87.2815
57.32,81.14,83.07,61.97,98.38,68.8855
56.99,98.53,78.66,72.39,83.91,77.4615
79.17,43.44,66.76,51.14,99.24,55.226
99.25,48.34,67.18,77.52,71.72,67.93849999999999
54.81,67.09,69.91,69.09,94.89,79.9985
64.29,63.09,64.56,62.49,60.25,59.467
93.47,86.96,85.51,99.28,55.9,88.172
53.61,49.64,82.57,71.41,85.13,75.47749999999999
93.79,98.57,72.04,70.71,68.57,78.39399999999999
76.21,58.9,69.89,73.16,65.88,61.16199999999999
70.41,65.74,68.25,55.81,83.56,58.875
65.48,56.48,64.17,69.65,66.67,56.402
64.86,74.76,54.28,66.82,78.63,69.43499999999999
65.29,43.52,63.41,73.26,64.97,66.83699999999999
94.24,48.98,66.06,92.83,89.19,67.269
